Data,Preco_Bruto,Residuo_Macro,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,Preco_Limpo,Soma_IMF_6_5,Soma_IMF_6_5_4,Soma_IMF_6_5_4_3,Soma_IMF_6_5_4_3_2,Soma_IMF_6_5_4_3_2_1,Sinal_Direcao,Run_Length,Quebra_Regime
2021-10-27,58413.44,45665.84135041649,-1141.7837835787286,-774.1093165222686,695.0322031932568,-731.9413006690373,8574.852140070781,6125.548707089505,60329.333100101,14700.400847160288,13968.459546491247,14663.491749684506,13889.382433162238,12747.59864958351,0,1,0
2021-10-28,60575.89,45676.00469723009,211.0045534604404,-109.84959153677448,68.85107873155536,-118.73568461758406,8713.460055409787,6135.154891322482,60474.73503807633,14848.614946732268,14729.879262114684,14798.73034084624,14688.880749309465,14899.885302769904,1,2,0
2021-10-29,62253.71,45685.13459482547,1089.4488843673364,484.5980327513879,-451.2491699488515,463.8654964165489,8837.396948065165,6144.51521352294,60679.66308288127,14981.912161588103,15445.777658004654,14994.528488055805,15479.12652080719,16568.575405174528,1,3,0
2021-10-30,61859.19,45693.22556963391,81.35533386329165,855.6281281191501,-881.1592216404238,1010.335895079785,8946.175269504458,6153.629025439831,60922.20653801756,15099.80429494429,16110.140190024074,15228.98096838365,16084.6090965028,16165.964430366092,1,4,0
2021-10-31,61299.8,45700.27214808677,-808.0744789965906,924.7803798260004,-1233.9721395066622,1514.990940572943,9039.307471195774,6162.49567882177,61183.094099170594,15201.803150017544,16716.794090590487,15482.821951083824,16407.602330909824,15599.527851913232,1,5,0
2021-11-01,60911.11,45706.26885661539,-1222.2730633356643,673.3021979656692,-1505.6986996973949,1972.090178427532,9116.30600460696,6171.114525417509,61460.08086536999,15287.420530024468,17259.510708452,15753.812008754605,16427.11420672027,15204.841143384609,1,6,0
2021-11-02,63219.99,45711.2102216511,1354.0563045735123,89.15772290866323,-1666.4831129370366,2375.880625622125,9176.683321205845,6179.4849169757945,61776.77597251783,15356.16823818164,17732.048863803764,16065.565750866728,16154.723473775392,17508.779778348904,1,7,0
2021-11-03,62896.48,45715.09076962526,1225.855329044315,-482.0205352514325,-1690.6805932573036,2720.6769521334368,9219.951872460368,6187.606205245352,62152.64520620712,15407.558077705718,18128.235029839158,16437.55443658185,15955.533901330416,17181.38923037473,1,8,0
2021-11-04,61395.01,45717.90502696936,-368.8965295532837,-839.5529133236562,-1557.7616034809516,3002.214167575198,9245.624109838647,6195.477741974697,62603.45944287695,15441.101851813344,18443.31601938854,16885.55441590759,16046.001502583937,15677.104973030651,1,9,0
2021-11-05,60937.12,45719.64752011457,-1360.841337652645,-838.8999728677131,-1259.9074178514222,3220.8098445361547,9253.212488339226,6203.098875381835,63136.86131052037,15456.31136372106,18677.121208257216,17417.213790405793,16578.31381753808,15217.472479885437,1,10,0
2021-11-06,61470.61,45720.31277549216,-1870.70590602618,-398.0364045851384,-811.6720840652455,3378.01320253858,9242.228566336971,6210.469850308856,63739.35231061132,15452.698416645828,18830.711619184407,18019.03953511916,17621.003130534024,15750.297224507844,1,11,0
2021-11-07,63273.59,45719.89531953364,-1414.2200230483656,317.3262543273411,-254.5960163540392,3475.4096517375337,9212.180026694425,6217.59478710946,64370.483768721024,15429.774813803884,18905.184465541417,18650.588449187377,18967.91470351472,17553.694680466353,1,12,0
2021-11-08,67525.83,45718.38967867031,1725.3613975002413,816.5160022762526,363.9237593096952,3514.5553132879795,9162.604187879066,6224.479661076452,64983.95260022351,15387.083848955515,18901.639162243497,19265.56292155319,20082.07892382945,21807.440321329686,1,13,0
2021-11-09,66947.66,45715.79037933353,831.6607895012704,593.9669262264439,985.0667807328704,3496.716328394585,9093.328112261435,6231.13068354987,65522.03228427229,15324.458795811308,18821.175124205893,19806.241904938764,20400.208831165208,21231.86962066648,1,14,0
2021-11-10,64882.43,45712.091948636255,-880.3585172366278,-118.34022478279122,1504.1450277209894,3422.4705413047045,9004.86715916917,6237.554065188298,65881.12874201941,15242.421224357468,18664.89176566217,20169.03679338316,20050.696568600368,19170.33805136374,1,15,0
2021-11-11,64774.26,45707.28892462574,-375.8405884971454,-795.1719814417933,1804.058584618621,3292.265408045256,8897.9036469334,6243.756005715913,65945.27256993893,15141.659652649312,18433.925060694568,20237.98364531319,19442.8116638714,19066.97107537425,1,0,1
2021-11-12,64122.23,45701.37601887017,-843.9757478341696,-651.6299192321434,1785.828561808968,3107.7679258595736,8773.120629191564,6249.742531336037,65617.8356670663,15022.863160527602,18130.631086387177,19916.459648196145,19264.829728964003,18420.853981129832,-1,0,1
2021-11-13,64380.0,45694.34868885153,-596.9274634273152,84.17686910288718,1436.5416231400784,2875.1402004134347,8631.201159581276,6255.518922338106,64892.75059432443,14886.720081919382,17761.86028233282,19198.401905472896,19282.578774575784,18685.651311148467,-1,0,1
2021-11-14,65519.1,45686.2032588325,962.1437130373934,734.6278076837499,799.9387494097479,2602.268587065561,8472.828291739994,6261.089592231054,63822.32847927886,14733.917883971048,17336.18647103661,18136.12522044636,18870.753028130108,19832.8967411675,-1,0,1
2021-11-15,63606.74,45676.93629946399,367.1508253284812,741.3281681400695,-41.02108562344965,2297.20200525032,8298.68507930517,6266.458708135418,62498.26100653145,14565.14378744059,16862.34579269091,16821.324707067462,17562.652875207532,17929.803700536013,-1,0,1
2021-11-16,60058.87,45666.544448549015,-1161.5407082040936,129.53299266378988,-924.7410533447324,1967.9893744019537,8109.454575914604,6271.630370019464,61090.87771554031,14381.084945934068,16349.074320336022,15424.333266991289,15553.866259655078,14392.325551450986,-1,0,1
2021-11-17,60344.87,45655.02477748565,1240.8313032480264,-701.191482572013,-1654.902291578724,1622.679613954684,7905.819835205486,6276.6082442569,59805.23017932399,14182.428079462386,15805.10769341707,14150.205401838346,13449.013919266334,14689.84522251436,-1,1,0
2021-11-18,56891.62,45642.37626074375,-1242.8162302363316,-702.3113287000763,-2044.8083501147305,1269.321643342642,7688.463910815606,6281.394094149142,58836.74755893641,13969.858004964748,15239.17964830739,13194.37129819266,12492.059969492584,11249.243739256252,-1,2,0
2021-11-19,58052.24,45628.6010437103,-387.4397120675162,159.67483927261625,-2008.304254394223,915.6517150156136,7458.069856382385,6285.986512080822,58280.0048727949,13744.056368463209,14659.70808347882,12651.403829084598,12811.078668357217,12423.638956289698,-1,3,0
2021-11-20,59707.51,45613.70244144494,942.676960052,730.8517430792693,-1653.0493025814096,567.6245116980461,7215.320725543424,6290.382920763732,58033.98129686873,13505.703646307156,14073.328158005204,12420.278855423792,13151.13059850306,14093.80755855506,-1,4,0
2021-11-21,58622.02,45597.68397834825,636.0947551523958,45.80477757498728,-1141.7312901555028,228.6876735749049,6960.899571936265,6294.5805335687,57940.120467272616,13255.480105504965,13484.16777907987,12342.436488924366,12388.241266499354,13024.336021651749,-1,5,0
2021-11-22,56247.18,45580.54924601752,-700.9354766503884,-843.3495112957337,-684.6025932332544,-98.54761070647204,6695.4894491982495,6298.5764966700735,57791.46498794612,12994.065945868322,12895.51833516185,12210.915741928597,11367.566230632863,10666.630753982474,-1,6,0
2021-11-23,57541.27,45562.30185457906,558.7109737415296,-453.7832517979473,-436.0916199458832,-412.0093052568332,6419.773410967133,6302.36793771293,57436.34227805641,12722.141348680065,12310.13204342323,11874.040423477349,11420.2571716794,11978.96814542093,-1,7,0
2021-11-24,57138.29,45542.9454184814,-941.7740832501564,1083.8691281363308,-275.8514633895094,-711.2854908786176,6134.434510880358,6305.951980020195,56996.194955113824,12440.386490900552,11729.101000021936,11453.249536632426,12537.118664768755,11595.3445815186,-1,8,0
2021-11-25,58960.36,45522.48356204078,1456.7286536824747,861.7461713541693,-33.26156736757212,-996.8183593325228,5840.15580257554,6309.325737047122,56641.88517496335,12149.481539622662,11152.66318029014,11119.401612922567,11981.147784276736,13437.87643795921,-1,9,0
2021-11-26,53726.53,45500.919920250126,-1711.2801683053835,-980.8908622882147,336.65621173367373,-1268.981752652673,5537.6203396900455,6312.486311572426,56418.7010305936,11850.106651262471,10581.124898609798,10917.781110343472,9936.890248055255,8225.610079749873,-1,10,0
2021-11-27,54721.03,45478.258200198856,-11.82408559544604,-1606.4579963083725,845.5660479982298,-1527.4540764327471,5227.51117586155,6315.430734277929,56339.312081903816,11542.94191013948,10015.487833706731,10861.053881704964,9254.595885396591,9242.771799801145,-1,11,0
2021-11-28,57274.88,45454.50242422179,1683.7191319535227,-793.4772132169777,1471.9002916431234,-1770.4317199295197,4910.511364727575,6318.155720600479,56384.638081263445,11228.667085328054,9458.235365398534,10930.135657041656,10136.65844382468,11820.377575778202,1,12,0
2021-11-29,57776.25,45429.65742785894,556.6017938970593,810.695278046809,2065.3485595475595,-1994.014192047403,4587.303959925644,6320.657172771383,56408.952928056126,10907.961132697026,8913.946940649623,10979.295500197182,11789.990778243991,12346.592572141051,1,13,0
2021-11-30,56950.56,45403.72898948255,-1343.7295561506526,2059.4204977314685,2444.676009833128,-2195.0380061798087,4258.572015093304,6322.930050190004,56234.86905841918,10581.502065283308,8386.464059103499,10831.140068936627,12890.560566668097,11546.831010517444,-1,14,0
2021-12-01,57184.07,45376.72348774674,-401.20467484733,1859.9847695532576,2471.69607787587,-2373.096956170193,3924.99858386792,6324.968711973743,55725.28990529408,10249.967295841663,7876.87033967147,10348.56641754734,12208.551187100597,11807.346512253269,-1,15,0
2021-12-02,56480.34,45348.647558181125,1071.5528713087124,500.0062369185824,2173.607689619264,-2527.5083362792425,3587.266719887135,6326.767260364422,54908.7808917727,9914.033980251555,7386.525643972314,9560.13333359158,10060.13957051016,11131.692441818872,-1,0,1
